scenario,peak_infectious,peak_day,cumulative_deaths,cumulative_infections,attack_rate,vaccinated,deaths_averted_pct,peak_reduction_pct
No intervention,134503.70805828852,120.0,8941.076039269194,894107.603926919,0.894107603926919,0.0,0.0,0.0
"Lockdown day 60, 60% for 60 d",127728.41554494278,181.0,8896.628620610823,889662.8620610806,0.8896628620610806,0.0,0.49711487144452615,5.037253330153257
"Vaccination from day 60, 0.5%/day",76441.77061934791,121.0,5966.921474493738,596692.1474493721,0.5966921474493722,395449.73871372506,33.26394442584956,43.16753662566604
"Test & isolate from day 30, 0.1/day",26215.346455760715,182.0,5661.996041708026,566199.604179124,0.566199604179124,0.0,36.674332967972234,80.50957342796823
All three combined,387.7571949159565,62.0,37.86098240833803,3786.098240833808,0.003786098240833808,961269.1659659857,99.5765500456315,99.71171263564874
