kind,start_day,strength,peak_infectious,peak_day,cumulative_deaths,cumulative_infections,attack_rate,vaccinated
lockdown,30.0,0.225,133001.20950481915,140.0,8931.465255801813,893146.5255801852,0.8931465255801853,0.0
lockdown,30.0,0.3,133278.84966755906,147.0,8933.216954919088,893321.6954919095,0.8933216954919095,0.0
lockdown,30.0,0.375,133543.99191195317,154.0,8935.048865137887,893504.8865137894,0.8935048865137895,0.0
lockdown,30.0,0.45,133801.28505512027,162.0,8936.60416900178,893660.4169001776,0.8936604169001776,0.0
lockdown,30.0,0.525,133943.2509054097,171.0,8937.796276723295,893779.6276723305,0.8937796276723304,0.0
lockdown,30.0,0.6,134081.79198697524,180.0,8938.655705289331,893865.5705289352,0.8938655705289352,0.0
lockdown,30.0,0.675,134179.62064748522,189.0,8939.251417684354,893925.1417684357,0.8939251417684357,0.0
lockdown,30.0,0.75,134257.31065026007,200.0,8939.654514220178,893965.4514220186,0.8939654514220186,0.0
lockdown,30.0,0.825,134312.86388480177,213.0,8939.92430603702,893992.4306037007,0.8939924306037007,0.0
lockdown,30.0,0.9,134333.00290967754,228.0,8940.105229812187,894010.5229812186,0.8940105229812186,0.0
lockdown,40.0,0.0,134503.70805828852,120.0,8941.076039269194,894107.603926919,0.894107603926919,0.0
lockdown,40.0,0.075,131262.8345885864,127.0,8920.383447655968,892038.3447655985,0.8920383447655985,0.0
lockdown,40.0,0.15,130407.5252817866,133.0,8914.511707920681,891451.170792068,0.891451170792068,0.0
lockdown,40.0,0.225,130660.0115643252,140.0,8916.104002226408,891610.4002226393,0.8916104002226393,0.0
lockdown,40.0,0.3,131316.93804553157,147.0,8920.479410241,892047.9410241022,0.8920479410241021,0.0
lockdown,40.0,0.375,132016.69889648972,155.0,8925.207316286916,892520.73162869,0.8925207316286901,0.0
lockdown,40.0,0.45,132626.44426400546,162.0,8929.273260822147,892927.3260822169,0.8929273260822169,0.0
lockdown,40.0,0.525,133146.73728209225,171.0,8932.408156629861,893240.8156629867,0.8932408156629867,0.0
lockdown,40.0,0.6,133495.90322099728,180.0,8934.674755655771,893467.4755655737,0.8934674755655737,0.0
lockdown,40.0,0.675,133709.38433593477,190.0,8936.248203089655,893624.8203089683,0.8936248203089683,0.0
