region,population,arrival_day,peak_day,peak_prevalence,attack_rate,distance_from_capital
Capital,2000000,25.0,84.0,0.14355906571338706,0.8905872510770066,0.0
Northport,800000,58.0,115.0,0.1428941470624822,0.8920382963776842,3.6496575181789317
Eastvale,600000,58.0,116.0,0.14300526557518875,0.8920925114312118,3.905124837953327
Southbay,700000,57.0,115.0,0.14295830083085795,0.892016814223245,3.517101079013795
Westfield,500000,57.0,115.0,0.14294684159113027,0.89203646563409,3.6124783736376886
Highland,250000,64.0,123.0,0.1433448975196919,0.8923413259619526,6.26418390534633
Lakeside,300000,65.0,124.0,0.1434316353406065,0.8923686622201956,6.826419266350405
Farmstead,150000,66.0,124.0,0.14345507526514878,0.8923900920689075,7.0
