parameter,prcc,p_value
beta,0.9476039090707705,0.0
vaccination_rate,-0.8663258374560412,5.500648665759769e-241
infectious_period,0.8563293965409434,1.677614698899062e-229
isolation_rate,-0.7634043569346082,1.7034184735576295e-152
initial_infected,0.35007786153109033,2.627979627039912e-24
latent_period,-0.3486241355920725,4.172162313845393e-24
ifr,-0.02091700322939612,0.5561730774908934
