network,nodes,edges,mean_degree,max_degree,mean_excess_degree,clustering,approx_R0,attack_rate_mean,attack_rate_sd,peak_prevalence_mean,peak_day_mean
Erdos-Renyi,2000,7963,7.963,19,7.940223533844028,0.0034439787551629655,2.0196803832936725,0.80203,0.016347130435320677,0.19397999999999999,29.22
Watts-Strogatz,2000,8000,8.0,12,7.09675,0.47081233766233765,1.8051339107830362,0.5992999999999999,0.13465818404617022,0.05778,64.48
Barabasi-Albert,2000,7984,7.984,137,17.819514028056112,0.02101857079988046,4.532583090248086,0.7326600000000001,0.10674093375446699,0.23817000000000005,16.62
