kind,start_day,strength,peak_infectious,peak_day,cumulative_deaths,cumulative_infections,attack_rate,vaccinated
isolation,40.0,0.15,7227.721092900098,232.0,3411.4858723325992,341148.9729815526,0.3411489729815526,0.0
isolation,40.0,0.175,2636.2587252813614,289.0,2167.7791492633955,216813.4470796948,0.2168134470796948,0.0
isolation,40.0,0.2,507.1268812069899,331.0,844.1862975124145,84746.85495760832,0.08474685495760832,0.0
isolation,40.0,0.225,271.3990766051268,40.0,159.98010044472943,16012.817835192654,0.016012817835192653,0.0
isolation,40.0,0.25,271.3990431323639,40.0,67.18631482636461,6718.703751918809,0.006718703751918809,0.0
isolation,40.0,0.275,271.3988710502153,40.0,44.38020136097125,4438.020472308271,0.004438020472308271,0.0
isolation,40.0,0.3,271.39944559837784,40.0,34.4939029410231,3449.3902960723844,0.0034493902960723846,0.0
isolation,50.0,0.0,134503.70805828852,120.0,8941.076039269194,894107.603926919,0.894107603926919,0.0
isolation,50.0,0.025,94642.5974059549,127.0,8304.7263802868,830472.638028679,0.830472638028679,0.0
isolation,50.0,0.05,64802.652858696565,135.0,7539.326681013875,753932.6681013862,0.7539326681013861,0.0
isolation,50.0,0.075,42641.742440976894,146.0,6658.154911449648,665815.4911449696,0.6658154911449696,0.0
isolation,50.0,0.1,26499.566424538316,159.0,5673.210203825133,567321.020385318,0.567321020385318,0.0
isolation,50.0,0.125,15108.948878617963,177.0,4595.973528954825,459597.3537254465,0.4595973537254465,0.0
isolation,50.0,0.15,7506.243565880649,201.0,3439.7230129385125,343972.44952279865,0.34397244952279865,0.0
isolation,50.0,0.175,2945.855172202553,228.0,2227.798361479898,222790.30407927904,0.22279030407927905,0.0
isolation,50.0,0.2,845.0272034884742,196.0,1041.9374779938585,104281.38282399657,0.10428138282399657,0.0
isolation,50.0,0.225,717.1383344437086,50.0,343.7937265288371,34389.88113921162,0.03438988113921162,0.0
isolation,50.0,0.25,717.1381239318694,50.0,168.67203851117085,16867.302456418714,0.016867302456418716,0.0
isolation,50.0,0.275,717.1381679197634,50.0,114.74543901484265,11474.544527322672,0.011474544527322673,0.0
isolation,50.0,0.3,717.1382648151662,50.0,90.058980610053,9005.89806544994,0.009005898065449939,0.0
