parameter,prcc,p_value
beta,0.8570313436846332,2.799198569459922e-230
ifr,0.697424798377335,1.0361472058902171e-116
infectious_period,0.6561363250494802,6.393659332875609e-99
vaccination_rate,-0.6345798653978191,1.0563293684488364e-90
isolation_rate,-0.5328256520945911,1.9647103189864793e-59
initial_infected,0.18754562854901327,1.0170934364828219e-07
latent_period,-0.16884195594361065,1.7139253591738694e-06
