parameter,prcc,p_value
latent_period,0.3143103181670354,1.1511662666564565e-19
vaccination_rate,-0.17515398108427493,6.829377088143258e-07
beta,-0.13967491933651358,7.850035821880601e-05
initial_infected,-0.12590618247105068,0.00037603280187531153
isolation_rate,-0.046502465599526754,0.19053755528356178
infectious_period,0.039717610045942674,0.2636349289018104
ifr,-0.004192070574387739,0.9061163021571037
