country,window_start,days,growth_rate_per_day,growth_rate_ci95_low,growth_rate_ci95_high,doubling_time_days,R0,R0_ci95_low,R0_ci95_high
US,2020-03-02,14,0.28745641358452406,0.2761589460740994,0.2990074012711413,2.4113122818048773,6.080466351044946,5.799679103641084,6.374416569507441
United Kingdom,2020-02-29,14,0.23917251246603546,0.22199779806817194,0.2540625834399894,2.898105528152522,4.926850385855775,4.545736121694172,5.269681060252085
Italy,2020-02-20,14,0.25799813368416313,0.23881582359580783,0.27727756454848645,2.686636413457487,5.362219925175759,4.918779378983108,5.827185202032287
Germany,2020-02-29,14,0.24061000319878034,0.22430864849903734,0.2580437676483326,2.8807912029629983,4.959444547249803,4.596121979958666,5.363297670393738
"Korea, South",2020-02-18,14,0.22994454277873969,0.19764955507356213,0.26114036892552445,3.014410223368139,4.7201711479399595,4.031724477954435,5.436683364177631
India,2020-03-17,14,0.15171868792629303,0.13247382786284612,0.17035897437101136,4.568634161249045,3.146013183766162,2.807515244043835,3.492238274487108
