N,I0,n_reps,rms_gap_fraction_of_N
100,1,40,0.041862686467103415
300,3,40,0.0123588025777694
1000,10,40,0.009888233632836505
3000,30,40,0.0013078275021497566
10000,100,40,0.0008760448074131137
30000,300,40,0.00029129422789402146
