region,population,arrival_day,peak_day,peak_prevalence,attack_rate,distance_from_capital
Capital,2000000,25.0,85.0,0.14255033652521512,0.8888316259914756,0.0
Northport,800000,44.0,100.0,0.14147668858100118,0.8904004506402979,3.6496575181789317
Eastvale,600000,45.0,101.0,0.14159562791595925,0.890504216466125,3.905124837953327
Southbay,700000,44.0,100.0,0.14153843818811535,0.8903964235480853,3.517101079013795
Westfield,500000,44.0,100.0,0.14156122882741923,0.8904190264595464,3.6124783736376886
Highland,250000,50.0,107.0,0.14204146790388145,0.8910491121090675,6.26418390534633
Lakeside,300000,51.0,108.0,0.14211361949238954,0.8911200126460821,6.826419266350405
Farmstead,150000,52.0,108.0,0.14209193955354005,0.8912406773042194,7.0
