kind,start_day,strength,peak_infectious,peak_day,cumulative_deaths,cumulative_infections,attack_rate,vaccinated
vaccination,0.0,0.0,134503.70805828852,120.0,8941.076039269194,894107.603926919,0.894107603926919,0.0
vaccination,0.0,0.00083,107073.6128002002,125.0,7805.517257338064,780551.725733806,0.780551725733806,142524.85755879138
vaccination,0.0,0.00167,81377.41681939742,131.0,6605.332092514439,660533.2092514441,0.6605332092514441,283102.58435768593
vaccination,0.0,0.0025,58458.88598331906,137.0,5361.555265195394,536155.5265195387,0.5361555265195387,421799.0610425012
vaccination,0.0,0.00333,38677.82852465252,144.0,4066.40426517134,406640.426517134,0.406640426517134,561600.7168135465
vaccination,0.0,0.00417,22747.880345660305,149.0,2757.6122192600205,275761.2219260029,0.2757612219260029,700352.8400198681
vaccination,0.0,0.005,11908.029120639014,150.0,1620.4343727612957,162043.43727612923,0.16204343727612924,820628.832786823
vaccination,0.0,0.00583,5796.230150783,144.0,835.1509459625601,83515.09459625589,0.08351509459625589,904977.7355201559
vaccination,0.0,0.00667,2865.1614084310404,133.0,413.14014136927483,41314.01413692737,0.04131401413692737,951759.5948368476
vaccination,0.0,0.0075,1556.0348287140346,122.0,218.0424216175471,21804.242161754726,0.021804242161754726,974227.8906035997
vaccination,0.0,0.00833,928.959444385577,111.0,125.2472809014348,12524.72809014349,0.01252472809014349,985259.6536299593
vaccination,0.0,0.00917,599.508150155423,102.0,77.58348207910069,7758.348207910071,0.007758348207910071,991027.2535793041
vaccination,0.0,0.01,416.0833885282923,94.0,51.76240729593547,5176.240729593541,0.005176240729593541,994156.9129460116
vaccination,10.0,0.0,134503.70805828852,120.0,8941.076039269194,894107.603926919,0.894107603926919,0.0
vaccination,10.0,0.00083,109783.33441261215,124.0,7912.54404136681,791254.4041366798,0.7912544041366798,133244.91341396733
vaccination,10.0,0.00167,86496.26038211488,128.0,6835.541016768284,683554.1016768275,0.6835541016768275,262358.96144191385
vaccination,10.0,0.0025,65568.46680874583,133.0,5732.672599752328,573267.2599752354,0.5732672599752354,387463.03254428745
vaccination,10.0,0.00333,47067.56685950911,138.0,4596.750283229502,459675.0283229505,0.4596750283229505,511584.44167314406
vaccination,10.0,0.00417,31390.602001662093,142.0,3442.032306725658,344203.2306725658,0.3442032306725658,634821.3163782099
vaccination,10.0,0.005,19467.076413921426,143.0,2369.6225018143055,236962.25018143086,0.23696225018143086,747938.6269517206
vaccination,10.0,0.00583,11321.003310376931,142.0,1484.1906454538955,148419.06454538988,0.1484190645453899,841211.9208705698
vaccination,10.0,0.00667,6402.36278928378,136.0,866.7072003721235,86670.72003721229,0.0866707200372123,906719.3402918834
vaccination,10.0,0.0075,3755.7397503537654,128.0,506.65860286681476,50665.86028668151,0.05066586028668151,945355.0680983968
vaccination,10.0,0.00833,2335.6804343489825,119.0,307.84233190365654,30784.2331903657,0.0307842331903657,966915.1601627694
vaccination,10.0,0.00917,1540.4982524937589,110.0,196.64778375412004,19664.778375412,0.019664778375411997,979043.2383000617
vaccination,10.0,0.01,1082.1672507850324,103.0,133.4736508010603,13347.365080106027,0.013347365080106026,985930.5592653346
vaccination,20.0,0.0,134503.70805828852,120.0,8941.076039269194,894107.603926919,0.894107603926919,0.0
vaccination,20.0,0.00083,112495.92135993569,123.0,8018.70689021418,801870.689021416,0.801870689021416,124009.12785088524
vaccination,20.0,0.00167,91687.2940564432,126.0,7061.254039615511,706125.4039615522,0.7061254039615522,241914.8341654225
vaccination,20.0,0.0025,72779.48187358276,129.0,6091.216139378665,609121.6139378666,0.6091216139378667,354086.23780317366
vaccination,20.0,0.00333,55813.50285271314,133.0,5102.2328046962275,510223.28046962223,0.5102232804696222,463606.5061796591
vaccination,20.0,0.00417,40896.13294413215,135.0,4098.285036598673,409828.503659866,0.409828503659866,571623.3700867881
vaccination,20.0,0.005,28729.64422159045,137.0,3138.856229349063,313885.6229349062,0.31388562293490624,673025.0511018926
vaccination,20.0,0.00583,19332.390061779963,137.0,2270.7309809782246,227073.0980978221,0.2270730980978221,763900.8321533146
vaccination,20.0,0.00667,12582.810435685898,134.0,1552.1424393153575,155214.24393153578,0.15521424393153577,838833.8696533856
