beta,infectious_period,latent_period,ifr,vaccination_rate,isolation_rate,initial_infected,peak_infectious,peak_day,cumulative_deaths,attack_rate
0.46460107040657833,7.914601795875576,4.8025540555160635,0.00882045143427462,0.0026141916270820235,0.002728854863999497,81.4265738145374,161988.54364907535,74.0,7036.008341162103,0.7976925436969685
0.2776344868782433,9.197044595037159,3.8855668273388977,0.006307880391254656,0.003650918389769216,0.05381655693072371,95.06194526920004,3620.062202154507,134.0,441.5619317902044,0.07000163357605721
0.27571025061152277,4.812900030719845,3.89576748524615,0.011683719442438054,0.0012768697429456628,0.05009469292194383,54.531264385619345,54.531264385619345,0.0,15.684124868715505,0.0013423914315972914
0.20218212122121146,9.869553839485603,4.361598589165773,0.004474446895792721,0.0043327426488644,0.040633408950426865,49.03158934727808,122.14561729285033,84.0,9.606845549939427,0.002147046500646304
0.4937368752787271,6.343714159560817,3.355412244313116,0.013951559446089763,0.0016896383470450416,0.039515214950262695,9.66073207627882,99331.09936410822,90.0,10206.05902293123,0.731535357202789
0.5034832177955784,6.207720256557913,4.614907580655208,0.01045051583757539,0.002933844641875885,0.08338077106290935,96.49781620522496,33309.422953609304,99.0,4998.18661162574,0.4782717608689215
0.25224027054950504,6.277716633934493,2.480495859017275,0.015738218520904085,0.0006405330144468929,0.09838014102888404,35.530501500173195,35.530501500173195,0.0,8.841194401550908,0.0005617658942661686
0.2279238922489664,4.710827416748383,2.455952878944335,0.010136434671246631,0.0010276176546918894,0.018937424610568385,35.78954634097431,35.78954634097431,0.0,4.953631295995041,0.0004886956268801964
0.3796464431725739,9.21475992755796,6.277621760209994,0.018389728476572817,1.9418735676767124e-05,0.04961563354294282,60.04848685809193,108247.0185607199,112.0,16168.203608253363,0.8791975166381868
0.4830075730350003,6.87151002267511,4.740383235376944,0.0027007731912132753,0.0006950218694339256,0.030509568824199352,13.550592861566864,125923.4687081329,93.0,2300.7764342162845,0.85189546523257
0.2594805593256104,9.530466555183327,6.415941309895634,0.014832306514363614,0.0026504127428205425,0.06174364428753443,49.788351197593514,631.8742121380677,165.0,261.0835935635864,0.017602359640476375
0.2252175427409998,5.105444005933755,2.5797164691196404,0.014464872875903511,0.0032071306167780816,0.004920647120514855,83.26037902253056,83.26037902253056,0.0,20.570445509679487,0.00142209652902979
0.5442079598045666,5.944206160114085,6.5615795263204975,0.014909873638887136,0.0016090941819831945,0.08369968113397858,57.20429148223521,42407.8330934017,113.0,9374.79199438446,0.628764013796444
0.2649704754205108,8.435662257072796,4.020837518876747,0.006808819264724251,0.0041722448922876946,0.08701950736834767,60.54960451099443,86.0364569703364,63.0,12.943683359301641,0.0019010173212206478
0.41147308883354083,6.07516394097185,5.9208223111188065,0.017848091798585118,0.0015056395402059048,0.05649554984286775,92.73659951928617,29209.776866082673,135.0,8993.21239511029,0.5038752879914705
