parameter,prcc,p_value
beta,0.940076824675026,0.0
infectious_period,0.865159397740157,1.3417409957632205e-239
isolation_rate,-0.7909710075715501,3.791454676102251e-171
vaccination_rate,-0.7527627203610315,5.792289304783e-146
latent_period,-0.512070337088928,2.764103146057552e-54
initial_infected,0.3633809161682195,3.414384451086447e-26
ifr,-0.016128083251997126,0.6499938314205967
